['261075', '2020-01-05', 'domingo', '19:45:00', 'AP', '210', '0.3', 'MACAPA', 'Ingestão de Álcool', 'Colisão traseira', 'Com Vítimas Feridas', 'Plena Noite', 'Decrescente', 'Nublado', 'Dupla', 'Reta', 'Sim', '3', '0', '2', '0', '1', '0', '2', '2', '0.07780012', '-51.06097', 'SR-AP', 'UOP01/AP', '\n']
['261106', '2020-01-05', 'domingo', '16:10:00', 'AC', '364', '271.4', 'SENA MADUREIRA', 'Falta de Atenção à Condução', 'Colisão lateral', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '3', '0', '0', '2', '0', '1', '2', '2', '-9.08315803', '-68.65043101', 'SR-AC', 'UOP01/AC', '\n']
['261107', '2020-01-05', 'domingo', '22:15:00', 'RR', '174', '369', 'CARACARAI', 'Falta de Atenção à Condução', 'Colisão transversal', 'Com Vítimas Fatais', 'Plena Noite', 'Decrescente', 'Céu Claro', 'Simples', 'Curva', 'Sim', '2', '1', '0', '0', '1', '0', '0', '2', '1.832381', '-61.125172', 'SR-RR', 'UOP01/RR', '\n']
['261167', '2020-01-06', 'segunda-feira', '09:20:00', 'RR', '174', '531', 'BOA VISTA', 'Falta de Atenção à Condução', 'Colisão transversal', 'Com Vítimas Fatais', 'Pleno dia', 'Crescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '3', '1', '0', '0', '2', '0', '0', '3', '3.01829', '-60.773609', 'SR-RR', 'UOP01/RR', '\n']
['261168', '2020-01-06', 'segunda-feira', '10:30:00', 'PA', '316', '45', 'SANTA IZABEL DO PARA', 'Avarias e/ou desgaste excessivo no pneu', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Chuva', 'Dupla', 'Curva', 'Não', '1', '0', '1', '0', '0', '0', '1', '1', '-1.277567', '-48.078326', 'SR-PA', 'DEL19/1', 'UOP01/PA\n']
['261172', '2020-01-06', 'segunda-feira', '12:20:00', 'TO', '153', '414.7', 'MIRANORTE', 'Desobediência às normas de trânsito pelo condutor', 'Queda de ocupante de veículo', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Nublado', 'Dupla', 'Retorno Regulamentado', 'Sim', '2', '0', '1', '0', '0', '1', '1', '2', '-9.532369', '-48.593407', 'SR-TO', 'UOP02/TO', '\n']
['261213', '2020-01-06', 'segunda-feira', '15:50:00', 'TO', '153', '757.9', 'ALVORADA', 'Defeito Mecânico no Veículo', 'Colisão frontal', 'Com Vítimas Fatais', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '3', '1', '0', '2', '0', '0', '2', '2', '-12.45418101', '-49.11937505', 'SR-TO', 'UOP01/TO', '\n']
['261225', '2020-01-06', 'segunda-feira', '15:00:00', 'RO', '364', '295', 'PRESIDENTE MEDICI', 'Falta de Atenção à Condução', 'Saída de leito carroçável', 'Com Vítimas Feridas', 'Pleno dia', 'Decrescente', 'Céu Claro', 'Simples', 'Reta', 'Não', '1', '0', '1', '0', '0', '0', '1', '1', '-11.28920189', '-61.89866179', 'SR-RO', 'DEL21/2', 'UOP01/RO\n']
['261251', '2020-01-06', 'segunda-feira', '11:20:00', 'AM', '174', '986.9', 'PRESIDENTE FIGUEIREDO', 'Ingestão de Álcool', 'Queda de ocupante de veículo', 'Com Vítimas Feridas', 'Pleno dia', 'Crescente', 'Céu Claro', 'Dupla', 'Não Informado', 'Não', '2', '0', '2', '0', '0', '0', '2', '1', '-2.08151553', '-60.00707746', 'SR-AM', 'UOP02/AM', '\n']
['261256', '2020-01-06', 'segunda-feira', '18:48:00', 'AC', '364', '136.7', 'RIO BRANCO', 'Defeito na Via', 'Queda de ocupante de veículo', 'Com Vítimas Feridas', 'Plena Noite', 'Decrescente', 'Céu Claro', 'Dupla', 'Reta', 'Sim', '2', '0', '2', '0', '0', '0', '2', '1', '-9.977578', '-67.8489', 'SR-AC', 'UOP01/AC', '\n']
